latitude,longitude,altitude,name 
-28.95069,-49.46342,146.2,0
-28.95064,-49.46346,146.1,1
-28.95059,-49.46349,146.2,2
-28.95048,-49.46354,146.2,3
-28.95039,-49.46373,146.2,4
-28.95028,-49.46387,146.1,5
-28.95016,-49.46401,146.1,6
-28.95002,-49.46415,146,7
-28.94989,-49.46433,146,8
-28.94974,-49.46449,146,9
-28.94966,-49.46458,146,10
-28.9495,-49.46477,145.9,11
-28.94941,-49.46486,145.9,12
-28.94922,-49.46506,145.9,13
-28.94913,-49.46516,145.9,14
-28.94895,-49.46536,145.8,15
-28.94884,-49.46548,146.1,16
-28.94868,-49.46566,146.1,17
-28.9485,-49.46585,146,18
-28.94833,-49.46604,146,19
-28.94815,-49.46624,146,20
-28.94806,-49.46634,145.9,21
-28.94797,-49.46644,145.9,22
-28.94779,-49.46664,145.9,23
-28.94762,-49.46685,145.8,24
-28.94754,-49.46696,145.8,25
-28.94746,-49.46707,145.8,26
-28.94728,-49.46728,145.7,27
-28.94709,-49.46751,145.7,28
-28.94699,-49.46762,145.7,29
-28.94679,-49.4678,145.6,30
-28.94666,-49.46792,145.6,31
-28.94648,-49.4681,145.6,32
-28.94638,-49.46821,145.6,33
-28.94617,-49.46843,145.5,34
-28.94605,-49.46857,145.5,35
-28.94586,-49.46877,145.5,36
-28.94565,-49.46898,145.4,37
-28.94544,-49.4692,145.4,38
-28.94522,-49.46943,145.3,39
-28.945,-49.46966,145.3,40
-28.94489,-49.46978,145.2,41
-28.94476,-49.46993,145.2,42
-28.94458,-49.47014,145.1,43
-28.94438,-49.47038,145.1,44
-28.94429,-49.47053,145.1,45
-28.94419,-49.47072,145,46
-28.94403,-49.47095,145,47
-28.94394,-49.47108,145,48
-28.94384,-49.47122,145,49
-28.94366,-49.47146,144.9,50
-28.94351,-49.47171,144.9,51
-28.94337,-49.47194,144.8,52
-28.94326,-49.47212,144.8,53
-28.94316,-49.47228,144.8,54
-28.94314,-49.47234,144.8,55
-28.94311,-49.4724,144.8,56
-28.94306,-49.4725,144.8,57
-28.94298,-49.47256,144.9,58
-28.94294,-49.47262,144.9,59
-28.94286,-49.47271,144.9,60
-28.94281,-49.47277,144.9,61
-28.94271,-49.47289,144.9,62
-28.94265,-49.47296,144.9,63
-28.94254,-49.4731,144.9,64
-28.94247,-49.47318,144.8,65
-28.94233,-49.47334,144.8,66
-28.94217,-49.47357,144.7,67
-28.9421,-49.47367,144.7,68
-28.94202,-49.47393,141.1,69
-28.94189,-49.47418,139.4,70
-28.94178,-49.4744,137.1,71
-28.94172,-49.47452,135.9,72
-28.94162,-49.4747,134.1,73
-28.94159,-49.47478,133.3,74
-28.94154,-49.47485,132,75
-28.94148,-49.47497,129.3,76
-28.94145,-49.47505,128.1,77
-28.94138,-49.47519,125.8,78
-28.9413,-49.47533,124.1,79
-28.94125,-49.47541,123.1,80
-28.94115,-49.47557,121.5,81
-28.94109,-49.47566,120.9,82
-28.94097,-49.47584,119.1,83
-28.94083,-49.47595,115.9,84
-28.94072,-49.4761,114.4,85
-28.94062,-49.47623,112.6,86
-28.94058,-49.47628,110.7,87
-28.94063,-49.47622,107.7,88
-28.94062,-49.4763,102.7,89
-28.94059,-49.47635,101.7,90
-28.94056,-49.47642,100.4,91
-28.94052,-49.47648,99.7,92
-28.94046,-49.47657,99,93
-28.94042,-49.47663,98.5,94
-28.94038,-49.4767,98,95
-28.94034,-49.47677,97.6,96
-28.94023,-49.47692,96.8,97
-28.94019,-49.477,96.2,98
-28.94012,-49.47709,95.2,99
-28.94,-49.47726,93.3,100
-28.93992,-49.47735,91.8,101
-28.93976,-49.47756,90.1,102
-28.93959,-49.47779,88.6,103
